audio_id,audio_path,model_name,reference_transcript,predicted_transcript,sample_wer,sample_cer,latency_seconds,confidence_score,confidence_method,error
1,D:\I5 internship\Prototype\data\test_audio\1.wav,wav2vec2,ខ្ញុំចង់ run cash advance ចំនួន ប្រាំរយដុល្លារ សម្រាប់តុបតែង booth និងរៀបចំ cloud workshop,ខ្ញុំចង់ run cash advance ចំនួន 500 dណlarn សម្រាប់ to tang porot និង reapចង់ clat vialso k,1.0,0.4666666666666667,4.8174033999675885,0.8530922746658325,wav2vec2_ctc_avg_token_prob+heuristics,
1,D:\I5 internship\Prototype\data\test_audio\1.wav,whisper-small,ខ្ញុំចង់ run cash advance ចំនួន ប្រាំរយដុល្លារ សម្រាប់តុបតែង booth និងរៀបចំ cloud workshop,ខ្ញុំចង់ run cash advance ចំនួន 500 dollars សម្រាប់ និងែវើ និង cloud workshop,0.45454545454545453,0.3333333333333333,6.731554900004994,0.65,whisper_quality_heuristic,
1,D:\I5 internship\Prototype\data\test_audio\1.wav,whisper-medium,ខ្ញុំចង់ run cash advance ចំនួន ប្រាំរយដុល្លារ សម្រាប់តុបតែង booth និងរៀបចំ cloud workshop,ខ្ញុំចង់ run cash advance ចំនួន 500 dollars សម្រាប់ និង rip ចាក cloud workshop,0.5454545454545454,0.35555555555555557,47.23624260001816,0.65,whisper_quality_heuristic,
2,D:\I5 internship\Prototype\data\test_audio\2.wav,wav2vec2,ជួយ request cash advance ចំនួន មួយពាន់ដុល្លារ សម្រាប់កក់ទីតាំងកម្មវិធី Azure customer event,ជួយ request cespanse ចំនួន 10porn dollart សម្រាប់ kak 20 កាង កាវិt0 exចol cael euvan e,1.3,0.5714285714285714,2.8797682999866083,0.5890931545197964,wav2vec2_ctc_avg_token_prob+heuristics,
2,D:\I5 internship\Prototype\data\test_audio\2.wav,whisper-small,ជួយ request cash advance ចំនួន មួយពាន់ដុល្លារ សម្រាប់កក់ទីតាំងកម្មវិធី Azure customer event,ខ្ញុំត្រូវការអនុម័ត ការបញ្ជូនឯកសារ សម្រាប់ customer event,0.8,0.7032967032967034,4.862116300035268,0.48,whisper_quality_heuristic,
2,D:\I5 internship\Prototype\data\test_audio\2.wav,whisper-medium,ជួយ request cash advance ចំនួន មួយពាន់ដុល្លារ សម្រាប់កក់ទីតាំងកម្មវិធី Azure customer event,ខ្ញុំពេញ cash advance ចំនួន 100 dollars សម្រាប់ និង Agile customer event,0.7,0.4835164835164835,10.466719100018963,0.65,whisper_quality_heuristic,
3,D:\I5 internship\Prototype\data\test_audio\3.wav,wav2vec2,ខ្ញុំចង់ submit expense claim ចំនួន សែសិបដុល្លារ សម្រាប់ taxi ទៅ customer office ដើម្បីជួយ fix network issue,ខ្ញុំចង់ ស metexpense claim ចំនុន sែ 0 dollarរ សម្រាប់ tais ទៅ castimer aufuigst ើម b0 ជួយ fig sinest val eustoro,1.0666666666666667,0.4166666666666667,0.8229292999603786,0.8360366064310074,wav2vec2_ctc_avg_token_prob+heuristics,
3,D:\I5 internship\Prototype\data\test_audio\3.wav,whisper-small,ខ្ញុំចង់ submit expense claim ចំនួន សែសិបដុល្លារ សម្រាប់ taxi ទៅ customer office ដើម្បីជួយ fix network issue,ខ្ញុំចង់ expense claim ចំនួន 60 dollars សម្រាប់ customer office និង់ fix network issue,0.4,0.3333333333333333,3.9971795000019483,0.62,whisper_quality_heuristic,
3,D:\I5 internship\Prototype\data\test_audio\3.wav,whisper-medium,ខ្ញុំចង់ submit expense claim ចំនួន សែសិបដុល្លារ សម្រាប់ taxi ទៅ customer office ដើម្បីជួយ fix network issue,ខ្ញុំចង់ submit expense claim ចំនួន 40 dollars និង customer office ដែល្រាប់ fix network issue,0.3333333333333333,0.3055555555555556,12.94597060000524,0.62,whisper_quality_heuristic,
4,D:\I5 internship\Prototype\data\test_audio\4.wav,wav2vec2,ខ្ញុំសូម claim expense ចំនួន មួយរយដុល្លារ សម្រាប់ថ្លៃសាំង និង parking ពេលទៅ support server នៅ customer site,ខ្ញiំសុំ claim expene ចំនួន 100 dollarរ សម្រា់ fligសាng និង cakking pil ទៅ sot sivel នៅ us tones si យ,1.0714285714285714,0.3925233644859813,0.8199960000347346,0.8325315779447555,wav2vec2_ctc_avg_token_prob+heuristics,
4,D:\I5 internship\Prototype\data\test_audio\4.wav,whisper-small,ខ្ញុំសូម claim expense ចំនួន មួយរយដុល្លារ សម្រាប់ថ្លៃសាំង និង parking ពេលទៅ support server នៅ customer site,ខ្ញុំសុំ claim expense ចំនួន 200 dollars សម្រាប់ និងែវក្រាប់ support service និងៃនេះ,0.7142857142857143,0.5046728971962616,5.319330500031356,0.62,whisper_quality_heuristic,
4,D:\I5 internship\Prototype\data\test_audio\4.wav,whisper-medium,ខ្ញុំសូម claim expense ចំនួន មួយរយដុល្លារ សម្រាប់ថ្លៃសាំង និង parking ពេលទៅ support server នៅ customer site,ខ្ញុំសុំ expense ចំនួន 100 dollars សម្រាប់ parking នៅត support server នៅជា្ត្ត្ត្ត្ត្អែក,0.6428571428571429,0.4953271028037383,14.49547960003838,0.59,whisper_quality_heuristic,
5,D:\I5 internship\Prototype\data\test_audio\5.wav,wav2vec2,ខ្ញុំចង់ claim reimbursement ចំនួន បីរយដុល្លារ សម្រាប់ថ្លៃស្នាក់នៅ ពេលទៅ support project នៅខេត្ត,ខ្ញុំចង់ klaim regg mkusvent ចំងនួន but 0 dollារ សម្រាប់ flig់ស្អរាប់ នៅ b0l ទៅ spot pouចe នៅ ខែក,1.6,0.4791666666666667,0.8052175999619067,0.7961685878038407,wav2vec2_ctc_avg_token_prob+heuristics,
5,D:\I5 internship\Prototype\data\test_audio\5.wav,whisper-small,ខ្ញុំចង់ claim reimbursement ចំនួន បីរយដុល្លារ សម្រាប់ថ្លៃស្នាក់នៅ ពេលទៅ support project នៅខេត្ត,ខ្ញុំចង់ claim ការបញុំណើរានឯ សម្រាប់ និង transport request,0.8,0.6354166666666666,4.545998099958524,0.51,whisper_quality_heuristic,
